Color,Modelo,Articulo,SKU,Descripcion Operam,Estado,Cantidad,Precio lista (sin IVA),Precio M6000 (sin IVA),Importe M6000,Precio estimado de,Inactivo
Menta s/filetes,SA08,Salsera 8,SA08M3001120,Salsera 8 menta s/filetes,EXISTE,1,77.59,31.03,31.03,,
Menta s/filetes,VA08,Taza 8,VA08M3001120,Taza 8 menta s/filetes,EXISTE,1,86.21,34.48,34.48,,
Menta s/filetes,TA14,Tazon 14,TA14M3001120,Tazon 14 menta s/filetes,EXISTE,1,107.76,43.10,43.10,,
Menta s/filetes,PH20,Plato 20 hondo,PH20M3001120,Plato 20 hondo menta s/filetes,EXISTE,1,172.41,68.97,68.97,,
Menta s/filetes,PL14,Plato 14,PL14M3001120,Plato 14 menta s/filetes,EXISTE,1,86.21,34.48,34.48,,
Menta s/filetes,PL24,Plato 24,PL24M3001120,Plato 24 menta s/filetes,EXISTE,1,172.41,68.97,68.97,,
Menta s/filetes,PL27,Plato 27,PL27M3001120,Plato 27 menta s/filetes,EXISTE,1,228.45,91.38,91.38,,
Menta salpicado de nopal,VA05,Taza 5,VA05M3V47120,Taza 5 menta salpicado nopal s/filetes,EXISTE,1,99.14,39.66,39.66,,
Menta salpicado de nopal,SA08,Salsera 8,SA08M3V47120,Salsera 8 menta salpicado nopal s/filetes,EXISTE,1,107.76,43.10,43.10,,
Menta salpicado de nopal,VA08,Taza 8,VA08M3V47120,Taza 8 menta salpicado nopal s/filetes,EXISTE,1,116.38,46.55,46.55,,
Menta salpicado de nopal,TA14,Tazon 14,TA14M3V47120,Tazon 14 menta salpicado nopal s/filetes,EXISTE,1,163.79,65.52,65.52,,
Menta salpicado de nopal,PH20,Plato 20 hondo,PH20M3V47120,Plato 20 hondo menta salpicado nopal s/filetes,EXISTE,1,254.31,101.72,101.72,,
Menta salpicado de nopal,PL14,Plato 14,PL14M3V47120,Plato 14 menta salpicado nopal s/filetes,EXISTE,1,116.38,46.55,46.55,,
Menta salpicado de nopal,PL24,Plato 24,PL24M3V47120,Plato 24 menta salpicado nopal s/filetes,EXISTE,1,254.31,101.72,101.72,,
Menta salpicado de nopal,PL27,Plato 27,PL27M3V47120,Plato 27 menta salpicado nopal s/filetes,EXISTE,1,331.90,132.76,132.76,,
Mostaza filete negro,VA05,Taza 5,VA05Y31111,Taza 5 mostaza filete negro,EXISTE,1,68.97,27.59,27.59,,
Mostaza filete negro,SA08,Salsera 8,SA08Y3001111,Salsera 8 mostaza filete negro,EXISTE,1,77.59,31.03,31.03,,
Mostaza filete negro,VA08,Taza 8,VA08Y31111,Taza 8 mostaza filete negro,EXISTE,1,86.21,34.48,34.48,,
Mostaza filete negro,TA14,Tazon 14,TA14Y31111,Tazon 14 mostaza filete negro,EXISTE,1,107.76,43.10,43.10,,
Mostaza filete negro,PH20,Plato 20 hondo,PH20Y3001111,Plato 20 hondo mostaza filete negro,EXISTE,1,172.41,68.97,68.97,,
Mostaza filete negro,PL14,Plato 14,PL14Y3001111,Plato 14 mostaza filete negro,EXISTE,1,86.21,34.48,34.48,,
Mostaza filete negro,PL24,Plato 24,PL24Y31111,Plato 24 mostaza filete negro,EXISTE,1,172.41,68.97,68.97,,
Mostaza filete negro,PL27,Plato 27,PL27Y3001111,Plato 27 mostaza filete negro,EXISTE,1,228.45,91.38,91.38,,
Negro,VA05,Taza 5,VA05N11111,Taza 5 negro filete negro,EXISTE,1,68.97,27.59,27.59,,
Negro,SA08,Salsera 8,SA08N11111,Salsera 8 negro filete negro,EXISTE,1,77.59,31.03,31.03,,
Negro,VA08,Taza 8,VA08N11111,Taza 8 negro filete negro,EXISTE,1,86.21,34.48,34.48,,
Negro,TA14,Tazon 14,TA14N11111,Tazon 14 negro filete negro,EXISTE,1,107.76,43.10,43.10,,
Negro,PH20,Plato 20 hondo,PH20N1001111,Plato 20 hondo negro filete negro,EXISTE,1,172.41,68.97,68.97,,
Negro,PL14,Plato 14,PL14N1001111,Plato 14 negro filete negro,EXISTE,1,86.21,34.48,34.48,,
Negro,PL24,Plato 24,PL24N11111,Plato 24 negro filete negro,EXISTE,1,172.41,68.97,68.97,,
